,star,identifier,r shifted wl,r unshifted wl,r heights,r AMD heights,rounded r shifted wl,observation time,rounded r unshifted wl,best_mean_chi_squared
0,HIP14286,HIP14286_3,5004.504441423552,5004.504441423552,0.1325766339936747,6.454436939556877,5004.5,2018-11-05T08:02:23.48,5004.5,1.7
1,HIP14286,HIP14286_2,5004.504441423552,5004.385866313039,0.1338500418288922,6.4923816403775065,5004.5,2018-11-05T08:08:28.93,5004.38,1.66
2,HIP14286,HIP14286_1,5004.504441423552,5004.487501778025,0.1291806753778566,6.790104510204049,5004.5,2018-11-05T07:56:10.17,5004.48,1.63
3,HIP68030,HIP68030_2,5014.195018400606,5013.609535370294,0.1089207874822552,6.402652151726192,5014.2,2017-05-14T06:36:48.60,5013.6,1.84
4,HIP68030,HIP68030_0,5014.195018400606,5014.195018400606,0.1104372754768088,6.167015557194292,5014.2,2017-05-14T06:29:09.62,5014.2,1.81
5,HIP68030,HIP68030_1,5014.195018400606,5013.906502427684,0.1071124265209144,6.721231922326046,5014.2,2017-05-14T06:21:30.41,5013.9,1.69
6,HIP68030,HIP68030_0,5110.3347891,5110.3347891,0.1227616087274705,6.454940272375252,5110.34,2017-05-14T06:29:09.62,5110.34,1.81
7,HIP68030,HIP68030_2,5110.3347891,5109.738080298836,0.1167812727084795,6.304793752036443,5110.34,2017-05-14T06:36:48.60,5109.74,1.84
8,HIP68030,HIP68030_1,5110.3347891,5110.0407412601735,0.1214418120990272,7.228144283868564,5110.34,2017-05-14T06:21:30.41,5110.04,1.69
9,HIP73695,HIP73695_1,5188.769349720676,5187.557756750017,0.1472630685833861,6.776248976089209,5188.76,2018-05-22T05:25:27.21,5187.56,4.05
10,HIP73695,HIP73695_0,5188.769349720676,5188.769349720676,0.1477951176572151,6.711367158511095,5188.76,2018-05-22T05:24:02.89,5188.76,4.01
11,HIP73695,HIP73695_3,5188.769349720676,5188.769349720676,0.1546990945271517,6.754371899680554,5188.76,2018-05-22T05:26:49.82,5188.76,4.0
12,HIP14576,HIP14576_3,5205.490459467761,5205.490459467761,0.0077600582524627,6.819795843892105,5205.5,2018-11-05T09:41:25.95,5205.5,5.79
13,HIP14576,HIP14576_2,5205.490459467761,5205.208554436648,0.0112733147172337,7.005037779880648,5205.5,2018-11-05T09:43:24.90,5205.2,5.8
14,HIP14576,HIP14576_1,5205.490459467761,5205.402360865471,0.011125860129501,6.722608488878729,5205.5,2018-11-05T09:42:25.76,5205.4,5.78
15,HIP77760,HIP77760_14,5232.839423912369,5232.839423912369,0.0557466329356444,6.694760318782421,5232.84,2018-06-06T07:12:48.17,5232.84,1.53
16,HIP77760,HIP77760_13,5232.839423912369,5232.839423912369,0.1320576151649671,7.016529439137661,5232.84,2018-06-06T07:11:33.71,5232.84,1.49
17,HIP77760,HIP77760_0,5232.839423912369,5232.839423912369,0.0196020081623597,6.777025781242832,5232.84,2018-06-06T07:14:02.49,5232.84,1.6
18,HIP93747,HIP93747_3,5250.361812823302,5250.361812823302,0.0081639524106361,7.381573501051091,5250.36,2018-06-19T09:09:13.84,5250.36,6.54
19,HIP93747,HIP93747_2,5250.361812823302,5248.958207794796,0.0072679323805925,6.476517638391854,5250.36,2018-06-19T09:10:11.69,5248.96,6.53
20,HIP93747,HIP93747_1,5250.361812823302,5250.486219094183,0.0135566095627998,7.200078386210829,5250.36,2018-06-19T09:08:15.54,5250.48,6.53
21,HIP93747,HIP93747_1,5250.611284443777,5250.735696625838,0.0119326059482123,7.586992110318138,5250.62,2018-06-19T09:08:15.54,5250.74,6.53
22,HIP93747,HIP93747_3,5250.611284443777,5250.611284443777,0.0073578832686428,6.203241422653149,5250.62,2018-06-19T09:09:13.84,5250.62,6.54
23,HIP93747,HIP93747_2,5250.629104298816,5249.225427813966,0.0092433946002083,6.832249562328442,5250.62,2018-06-19T09:10:11.69,5249.22,6.53
24,HIP91919,HIP91919_1,5283.358902901284,5284.145898286821,0.0165796424193695,6.731478619532147,5283.36,2017-08-26T04:26:57.95,5284.14,5.34
25,HIP91919,HIP91919_3,5283.358902901284,5283.358902901284,0.0150062634902246,6.075164262228685,5283.36,2017-08-26T04:23:59.85,5283.36,5.2
26,HIP91919,HIP91919_0,5283.358902901284,5283.358902901284,0.0252582730917417,6.028752784809061,5283.36,2017-08-26T04:25:28.32,5283.36,5.23
27,HIP67301,HIP67301_0,5348.905360397459,5348.905360397459,0.0054605310180328,6.107898501903295,5348.9,2018-07-27T04:41:27.04,5348.9,6.84
28,HIP67301,HIP67301_1,5348.905360397459,5349.195063487167,0.0052429447828639,6.060032237038316,5348.9,2018-07-27T04:42:19.47,5349.2,6.86
29,HIP67301,HIP67301_2,5348.905360397459,5348.760520619647,0.0094764499153798,6.183140358690292,5348.9,2018-07-27T04:40:29.25,5348.76,6.79
30,HIP77760,HIP77760_14,5383.270789786179,5383.270789786179,0.1145369987258321,6.578111761744276,5383.28,2018-06-06T07:12:48.17,5383.28,1.53
31,HIP77760,HIP77760_0,5383.270789786179,5383.270789786179,0.1199425210527857,6.9849382732331495,5383.28,2018-06-06T07:14:02.49,5383.28,1.6
32,HIP77760,HIP77760_13,5383.289059869397,5383.289059869397,0.1110161355272222,6.0084573151860265,5383.28,2018-06-06T07:11:33.71,5383.28,1.49
33,HIP14576,HIP14576_1,5403.552116629485,5403.460665998159,0.0146153601697337,7.6528985143197215,5403.56,2018-11-05T09:42:25.76,5403.46,5.78
34,HIP14576,HIP14576_2,5403.552116629485,5403.2594855048255,0.0176998458333535,7.136066187863891,5403.56,2018-11-05T09:43:24.90,5403.26,5.8
35,HIP14576,HIP14576_3,5403.552116629485,5403.552116629485,0.0109269323908188,6.739826963294659,5403.56,2018-11-05T09:41:25.95,5403.56,5.79
36,HIP68030,HIP68030_7,5405.679845992678,5405.679845992678,0.1053223282557699,8.32386779173228,5405.68,2020-06-05T05:51:38.20,5405.68,3.58
37,HIP68030,HIP68030_6,5405.679845992678,5405.679845992678,0.1487451185447992,7.980923571130314,5405.68,2020-06-05T05:38:57.75,5405.68,1.55
38,HIP68030,HIP68030_8,5405.679845992678,5405.679845992678,0.1503504181655689,7.983829653942597,5405.68,2020-06-05T05:45:14.14,5405.68,1.53
39,HIP91926,HIP91926_1,5429.490338188629,5428.534838208948,0.0092071610820774,6.648605180392674,5429.5,2017-08-25T05:21:28.67,5428.54,5.15
40,HIP91926,HIP91926_0,5429.490338188629,5429.490338188629,0.0057258362058642,6.202267805071332,5429.5,2017-08-25T05:20:00.48,5429.5,5.15
41,HIP91926,HIP91926_3,5429.508765134659,5429.508765134659,0.0083738508344975,6.291000400560553,5429.5,2017-08-25T05:18:30.96,5429.5,5.13
42,HIP97649,HIP97649_11,5446.617471879319,5446.617471879319,0.0095143733182038,6.541369615411336,5446.62,2018-06-29T11:21:34.91,5446.62,5.0
43,HIP97649,HIP97649_10,5446.617471879319,5446.617471879319,0.0106145014782949,6.457501485099137,5446.62,2018-06-29T11:20:46.20,5446.62,4.97
44,HIP97649,HIP97649_4,5446.617471879319,5445.732677682964,0.0075201997417567,6.432555338753102,5446.62,2018-06-29T11:23:12.11,5445.74,4.96
45,HIP97649,HIP97649_9,5446.617471879319,5446.617471879319,0.0105066137792358,6.395566586620246,5446.62,2018-06-29T11:19:58.35,5446.62,5.0
46,HIP97649,HIP97649_12,5446.617471879319,5446.617471879319,0.0078044929075968,6.062752657403604,5446.62,2018-06-29T11:22:23.82,5446.62,5.01
47,HIP68030,HIP68030_3,5476.812997463271,5475.348854126587,0.1201235987978112,6.631611929662276,5476.82,2020-05-29T05:26:57.22,5475.34,1.58
48,HIP68030,HIP68030_5,5476.812997463271,5476.812997463271,0.1206160770880527,6.893942259957341,5476.82,2020-05-29T05:35:37.52,5476.82,1.55
49,HIP68030,HIP68030_4,5476.812997463271,5476.812997463271,0.1265157344810636,7.024735990684275,5476.82,2020-05-29T05:31:16.21,5476.82,9.39
50,HIP47990,HIP47990_2,5576.804904279909,5576.804904279909,0.192518392832294,6.564024865525273,5576.8,2021-04-11T06:29:42.93,5576.8,3.72
51,HIP47990,HIP47990_1,5576.804904279909,5576.012188115621,0.2213985215484118,7.909538350772953,5576.8,2021-04-11T06:08:58.76,5576.02,11.55
52,HIP47990,HIP47990_0,5576.804904279909,5576.804904279909,0.2155812360141447,7.494347617344648,5576.8,2021-04-11T05:48:14.54,5576.8,5.82
53,TIC142276270,TIC142276270_2,5576.97524879569,5576.97524879569,0.5305057214039625,18.798265574958734,5576.98,2021-06-20T05:34:45.62,5576.98,13.38
54,TIC142276270,TIC142276270_1,5576.97524879569,5576.635475321041,0.5516552004567253,20.05651726078748,5576.98,2021-06-20T05:14:01.43,5576.64,7.32
55,TIC142276270,TIC142276270_0,5576.97524879569,5576.97524879569,0.60016019669555,21.373381437411705,5576.98,2021-06-20T04:53:17.06,5576.98,6.57
56,HIP98677,HIP98677_2,5577.372739567481,5576.71205984927,0.2653542520934871,11.846541120204442,5577.38,2020-05-23T07:17:47.82,5576.72,2.46
57,HIP98677,HIP98677_1,5577.372739567481,5575.900581871679,0.2572364918765208,11.921328122980924,5577.38,2020-05-23T07:04:35.22,5575.9,2.29
58,HIP98677,HIP98677_3,5577.372739567481,5577.372739567481,0.2645307155180065,12.190706895734785,5577.38,2020-05-23T07:30:37.78,5577.38,2.38
59,TIC198456933,TIC198456933_0,5577.637749154427,5577.637749154427,0.4099976063980748,14.802563180691187,5577.64,2021-08-31T08:26:49.30,5577.64,8.37
60,TIC198456933,TIC198456933_1,5577.637749154427,5576.165521508864,0.3951955255425289,14.664871811964824,5577.64,2021-08-31T08:47:33.70,5576.16,8.61
61,TIC198456933,TIC198456933_2,5577.637749154427,5577.637749154427,0.4324147867437619,15.14936077547602,5577.64,2021-08-31T09:08:17.92,5577.64,9.27
62,TIC219778329,TIC219778329_1,5577.902771333333,5577.29865776701,0.4127870911759483,17.005549256298576,5577.9,2021-08-27T11:06:15.89,5577.3,9.25
63,TIC219778329,TIC219778329_0,5577.902771333333,5577.902771333333,0.326451860520811,13.558742326870728,5577.9,2021-08-27T10:45:31.76,5577.9,7.28
64,TIC219778329,TIC219778329_2,5577.902771333333,5577.902771333333,0.3247760639351403,12.732372576107904,5577.9,2021-08-27T11:27:00.09,5577.9,6.17
65,HIP101262,HIP101262_2,5578.186737641784,5577.790253169948,0.7011655043171665,7.787934162117953,5578.18,2020-05-28T07:05:27.39,5577.8,7.35
66,HIP101262,HIP101262_4,5578.186737641784,5578.111212444357,0.6763044048362419,7.482956269318974,5578.18,2020-05-28T07:26:11.59,5578.12,8.88
67,HIP101262,HIP101262_7,5578.186737641784,5578.186737641784,0.6868313508277931,7.685417281939703,5578.18,2020-05-28T07:46:55.86,5578.18,7.94
68,HIP677,HIP677_1,5586.390133197386,5586.437406903933,0.0090512895824257,6.3830293796145074,5586.4,2018-10-23T05:55:41.20,5586.44,7.26
69,HIP677,HIP677_4,5586.390133197386,5586.390133197386,0.0180931185985133,7.211036550513213,5586.4,2018-10-23T05:57:20.82,5586.4,7.17
70,HIP677,HIP677_3,5586.409092639816,5586.409092639816,0.0106836845995877,7.081908212839508,5586.4,2018-10-23T05:56:31.20,5586.4,7.2
71,HIP67301,HIP67301_2,5598.290340452142,5598.138747729069,0.0093157292967982,6.060136048012676,5598.3,2018-07-27T04:40:29.25,5598.14,6.79
72,HIP67301,HIP67301_1,5598.309340282243,5598.612551388768,0.0097355771131887,6.866623646074065,5598.3,2018-07-27T04:42:19.47,5598.62,6.86
73,HIP67301,HIP67301_0,5598.309340282243,5598.309340282243,0.0063093176360596,6.536638867711949,5598.3,2018-07-27T04:41:27.04,5598.3,6.84
74,HIP77760,HIP77760_13,5615.568766027623,5615.568766027623,0.138142925351787,6.902503610700088,5615.56,2018-06-06T07:11:33.71,5615.56,1.49
75,HIP77760,HIP77760_0,5615.568766027623,5615.568766027623,0.13433488737132,6.451986477831458,5615.56,2018-06-06T07:14:02.49,5615.56,1.6
76,HIP77760,HIP77760_14,5615.568766027623,5615.568766027623,0.1450892636824771,7.164492580277639,5615.56,2018-06-06T07:12:48.17,5615.56,1.53
77,HIP107975,HIP107975_9,5889.746719956287,5889.746719956287,0.2162958651753372,10.197692134898745,5889.74,2019-07-10T11:39:24.31,5889.74,2.11
78,HIP107975,HIP107975_5,5889.746719956287,5889.746719956287,0.2173571559490548,10.780595307190676,5889.74,2019-07-10T11:43:51.94,5889.74,2.16
79,HIP107975,HIP107975_4,5889.746719956287,5889.607170201384,0.2103248947600083,10.364778934043782,5889.74,2019-07-10T11:41:54.20,5889.6,2.18
80,HIP107975,HIP107975_11,5889.746719956287,5889.746719956287,0.2250092735805119,10.60323419342221,5889.74,2019-07-10T11:46:05.94,5889.74,2.15
81,HIP117463,HIP117463_9,5895.866518685154,5895.866518685154,0.3795426756846246,7.550437688942624,5895.86,2019-11-06T08:55:49.85,5895.86,7.02
82,HIP117463,HIP117463_8,5895.866518685154,5895.866518685154,0.42769089803519,8.259848092217913,5895.86,2019-11-06T08:50:05.64,5895.86,8.32
83,HIP117463,HIP117463_10,5895.866518685154,5895.866518685154,0.3458011403277321,6.869268756226632,5895.86,2019-11-06T09:01:34.06,5895.86,9.93
84,HIP114430,HIP114430_12,5896.526876717652,5896.526876717652,0.2458334351594168,12.54801805028676,5896.52,2018-04-02T12:32:30.48,5896.52,5.13
85,HIP114430,HIP114430_1,5896.526876717652,5897.365278181821,0.1510139268668266,7.317309650933375,5896.52,2018-04-02T12:48:01.11,5897.36,2.71
86,HIP114430,HIP114430_0,5896.526876717652,5896.526876717652,0.2012846418369158,9.737177097220869,5896.52,2018-04-02T12:40:15.00,5896.52,2.49
